GeneID,GeneName,n_records,tot_phen,best_p
SORBI_3006G046900,Uncharacterized protein,2,9,1.619755e-10
SORBI_3006G047200,BHLH domain-containing protein,2,9,1.619755e-10
SORBI_3009G019800,NA,2,3,1.836467e-10
SORBI_3010G142132,Uncharacterized protein,2,2,1.991446e-10
SORBI_3010G141700,Protein FAR1-RELATED SEQUENCE,2,2,2.042273e-10
SORBI_3010G141800,Ubiquitin-like protease family profile domain-containing protein,2,2,2.042273e-10
SORBI_3010G141966,Uncharacterized protein,2,2,2.042273e-10
SORBI_3005G223925,Uncharacterized protein,2,3,2.117281e-10
SORBI_3010G143700,Uncharacterized protein,2,6,2.276651e-10
SORBI_3010G143800,PHD-type domain-containing protein,2,6,2.276651e-10
SORBI_3010G143500,Pyruvate phosphate dikinase AMP_ATP-binding domain-containing protein,2,4,2.276651e-10
SORBI_3010G143600,Morc S5 domain-containing protein,2,3,2.276651e-10
SORBI_3006G037050,Uncharacterized protein,2,4,2.327867e-10
SORBI_3010G139000,SURP motif domain-containing protein,2,3,2.625621e-10
SORBI_3010G146350,Uncharacterized protein,2,3,2.625621e-10
SORBI_3004G103700,Uncharacterized protein,2,2,2.82693e-10
SORBI_3010G132100,Thioredoxin domain-containing protein,2,4,2.957355e-10
SORBI_3010G132300,CDK5RAP3-like protein,2,4,2.957355e-10
SORBI_3010G132400,Beta-glucosidase,2,4,2.957355e-10
SORBI_3010G132550,Secreted protein,2,4,2.957355e-10
SORBI_3010G132600,Selenoprotein O,2,4,2.957355e-10
SORBI_3010G132800,Uncharacterized protein,2,4,2.957355e-10
SORBI_3010G132900,Uncharacterized protein,2,4,2.957355e-10
SORBI_3010G132000,Pollen-specific arabinogalacta protein BAN102,2,3,2.957355e-10
SORBI_3010G132500,Uncharacterized protein,2,3,2.957355e-10
SORBI_3010G133000,Uncharacterized protein,2,3,2.957355e-10
SORBI_3010G134400,Acyltransferase,2,4,2.99833e-10
SORBI_3010G134300,Uncharacterized protein,2,3,2.99833e-10
SORBI_3010G131900,RING-type E3 ubiquitin transferase,2,2,3.071507e-10
SORBI_3005G144500,Glycosyltransferase 6,2,5,3.098264e-10
SORBI_3005G144600,Kinesin-like protein,2,5,3.098264e-10
SORBI_3005G144800,DUF4283 domain-containing protein,2,5,3.098264e-10
SORBI_3005G144900,Uncharacterized protein,2,5,3.098264e-10
SORBI_3001G261750,Uncharacterized protein,2,2,3.164879e-10
SORBI_3001G261900,RNA uridylyltransferase,2,2,3.164879e-10
SORBI_3001G262000,Uncharacterized protein,2,2,3.164879e-10
SORBI_3010G146400,Auxin-responsive protein,2,3,3.306483e-10
SORBI_3010G146500,NA,2,3,3.306483e-10
SORBI_3005G219900,NA,2,4,3.398881e-10
