Ontology	Layer	Condition	Class	Term	GO	Genes	Background	Intervals	Fold	q_gene	q_LD	Overlap_genes
MF	Class sums and ratios	LIN	FA	aldehyde oxygenase (deformylating) activity	GO:0071771	3	27	1	9.83	0.015	0.00938	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	FA	nucleotide transmembrane transporter activity	GO:0015215	2	4	1	44.25	0.00413	0.0132	SORBI_3001G100800;SORBI_3001G101100
MF	Class sums and ratios	LIN	FA	adenyl-nucleotide exchange factor activity	GO:0000774	2	16	2	11.06	0.0412	0.0156	SORBI_3001G032800;SORBI_3006G219200
MF	Class sums and ratios	LIN	FA	purine nucleobase transmembrane transporter activity	GO:0005345	3	15	1	17.7	0.00351	0.017	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
MF	Class sums and ratios	LIN	FA	purine nucleoside transmembrane transporter activity	GO:0015211	3	15	1	17.7	0.00351	0.017	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
MF	Class sums and ratios	LIN	FA	ATP binding	GO:0005524	28	2232	14	1.11	0.464	0.0205	SORBI_3001G028100;SORBI_3001G028200;SORBI_3001G032300;SORBI_3001G032400;SORBI_3001G103300;SORBI_3001G403200;SORBI_3002G186300;SORBI_3002G187400;SORBI_3003G088100;SORBI_3004G005300;SORBI_3004G007133;SORBI_3004G007800;SORBI_3004G009000;SORBI_3004G009600;SORBI_3004G028600;SORBI_3004G059200;SORBI_3004G060900;SORBI_3004G061400;SORBI_3005G175500;SORBI_3006G187000;SORBI_3006G190300;SORBI_3006G195500;SORBI_3006G216800;SORBI_3006G219300;SORBI_3010G213900;SORBI_3010G215300;SORBI_3010G217200;SORBI_3010G217400
MF	Class sums and ratios	LIN	FA	nitrate transmembrane transporter activity	GO:0015112	2	5	1	35.4	0.00616	0.0216	SORBI_3004G009400;SORBI_3004G009500
MF	Class sums and ratios	LIN	FA	P-type calcium transporter activity	GO:0005388	2	16	2	11.06	0.0412	0.0216	SORBI_3001G103300;SORBI_3004G061400
MF	Class sums and ratios	LIN	FA	nucleic acid binding	GO:0003676	13	970	10	1.19	0.462	0.0306	SORBI_3001G028100;SORBI_3001G028200;SORBI_3001G032550;SORBI_3001G099800;SORBI_3001G402300;SORBI_3003G087200;SORBI_3004G004100;SORBI_3004G009000;SORBI_3004G010050;SORBI_3005G119950;SORBI_3005G120301;SORBI_3006G183800;SORBI_3006G192000
MF	Class sums and ratios	LIN	FA	DNA-binding transcription activator activity	GO:0001216	2	20	2	8.85	0.0606	0.036	SORBI_3003G406600;SORBI_3004G062100
MF	Class sums and ratios	LIN	GalCer	sphingolipid C4-monooxygenase activity	GO:0102772	3	11	1	144.83	2.58e-05	0.000152	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	GalCer	aldehyde oxygenase (deformylating) activity	GO:0071771	3	27	1	59.01	0.000192	0.000152	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	GalCer	iron ion binding	GO:0005506	5	433	1	6.13	0.00616	0.0141	SORBI_3004G006400;SORBI_3004G007500;SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	GalCer	transcription coregulator activity	GO:0003712	2	57	2	18.63	0.0209	0.0142	SORBI_3003G407200;SORBI_3004G006600
MF	Class sums and ratios	LIN	GalCer	copper ion binding	GO:0005507	2	68	1	15.62	0.0265	0.0387	SORBI_3003G088800;SORBI_3003G088900
MF	Class sums and ratios	LIN	LPC	DNA-binding transcription factor activity	GO:0003700	2	909	1	8.88	0.0539	0.044	SORBI_3003G324400;SORBI_3003G324500
MF	Class sums and ratios	LIN	LPC	DNA binding	GO:0003677	2	1166	1	6.92	0.0776	0.0481	SORBI_3003G324400;SORBI_3003G324500
MF	Class sums and ratios	LIN	MG	sphingolipid C4-monooxygenase activity	GO:0102772	3	11	1	131.04	2.58e-05	0.000152	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	MG	aldehyde oxygenase (deformylating) activity	GO:0071771	3	27	1	53.39	0.000204	0.00022	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	MG	transcription coregulator activity	GO:0003712	2	57	2	16.86	0.0239	0.0143	SORBI_3003G407200;SORBI_3004G006600
MF	Class sums and ratios	LIN	MG	iron ion binding	GO:0005506	5	433	1	5.55	0.00906	0.0143	SORBI_3004G006400;SORBI_3004G007500;SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	MG	copper ion binding	GO:0005507	2	68	1	14.13	0.0291	0.0288	SORBI_3003G088800;SORBI_3003G088900
