condition	LayerGroup	GeneID	Recurrence
CTL	combined	SORBI_3005G013200	2
CTL	combined	SORBI_3005G013300	2
CTL	combined	SORBI_3005G013500	2
CTL	combined	SORBI_3005G013600	2
CTL	combined	SORBI_3005G013700	2
CTL	combined	SORBI_3005G013901	2
CTL	combined	SORBI_3005G014100	2
CTL	combined	SORBI_3005G017000	2
CTL	combined	SORBI_3005G054600	2
CTL	combined	SORBI_3005G102500	2
CTL	combined	SORBI_3005G143900	2
CTL	combined	SORBI_3005G144201	2
CTL	combined	SORBI_3005G144300	2
CTL	combined	SORBI_3005G144400	2
CTL	combined	SORBI_3005G144450	2
CTL	combined	SORBI_3005G144500	2
CTL	combined	SORBI_3005G144600	2
CTL	combined	SORBI_3005G144800	2
CTL	combined	SORBI_3005G144900	2
CTL	combined	SORBI_3005G145000	2
CTL	combined	SORBI_3005G145100	2
CTL	combined	SORBI_3005G186700	2
CTL	combined	SORBI_3005G186800	2
CTL	combined	SORBI_3005G187000	2
CTL	combined	SORBI_3006G034200	2
CTL	combined	SORBI_3006G034225	2
CTL	combined	SORBI_3006G034250	2
CTL	combined	SORBI_3006G035400	2
CTL	combined	SORBI_3006G035500	2
CTL	combined	SORBI_3006G035600	2
CTL	combined	SORBI_3006G035700	2
CTL	combined	SORBI_3006G036500	2
CTL	combined	SORBI_3006G036566	2
CTL	combined	SORBI_3006G036632	2
CTL	combined	SORBI_3006G036700	2
CTL	combined	SORBI_3006G037300	2
CTL	combined	SORBI_3006G037401	2
CTL	combined	SORBI_3006G037500	2
CTL	combined	SORBI_3006G037600	2
CTL	combined	SORBI_3006G037650	2
CTL	combined	SORBI_3006G038350	2
CTL	combined	SORBI_3006G038400	2
CTL	combined	SORBI_3006G038500	2
CTL	combined	SORBI_3006G038600	2
CTL	combined	SORBI_3006G041700	2
CTL	combined	SORBI_3006G047500	2
CTL	combined	SORBI_3006G050100	2
CTL	combined	SORBI_3006G138800	2
CTL	combined	SORBI_3006G138900	2
CTL	combined	SORBI_3006G139200	2
CTL	combined	SORBI_3006G139400	2
CTL	combined	SORBI_3006G139501	2
CTL	combined	SORBI_3006G139600	2
CTL	combined	SORBI_3006G139900	2
CTL	combined	SORBI_3006G140000	2
CTL	combined	SORBI_3006G140801	2
CTL	combined	SORBI_3006G244100	2
CTL	combined	SORBI_3006G244200	2
CTL	combined	SORBI_3007G086032	2
CTL	combined	SORBI_3007G086300	2
CTL	combined	SORBI_3007G099400	2
CTL	combined	SORBI_3007G099500	2
CTL	combined	SORBI_3007G100800	2
CTL	combined	SORBI_3007G106800	2
CTL	combined	SORBI_3007G112400	2
CTL	combined	SORBI_3007G140050	2
CTL	combined	SORBI_3008G063300	2
CTL	combined	SORBI_3008G063500	2
CTL	combined	SORBI_3008G063600	2
CTL	combined	SORBI_3008G064000	2
CTL	combined	SORBI_3008G064100	2
CTL	combined	SORBI_3008G064200	2
CTL	combined	SORBI_3008G064250	2
CTL	combined	SORBI_3008G064500	2
CTL	combined	SORBI_3008G092800	2
CTL	combined	SORBI_3008G094150	2
CTL	combined	SORBI_3008G094300	2
CTL	combined	SORBI_3008G103132	2
CTL	combined	SORBI_3008G103200	2
CTL	combined	SORBI_3009G019400	2
CTL	combined	SORBI_3009G019550	2
CTL	combined	SORBI_3009G019700	2
CTL	combined	SORBI_3009G019800	2
CTL	combined	SORBI_3009G020700	2
CTL	combined	SORBI_3009G020800	2
CTL	combined	SORBI_3009G098900	2
CTL	combined	SORBI_3009G099000	2
CTL	combined	SORBI_3009G099050	2
CTL	combined	SORBI_3009G099100	2
CTL	combined	SORBI_3009G140600	2
CTL	combined	SORBI_3009G140700	2
CTL	combined	SORBI_3009G140800	2
CTL	combined	SORBI_3010G064200	2
CTL	combined	SORBI_3010G103000	2
CTL	combined	SORBI_3010G126000	2
CTL	combined	SORBI_3010G126200	2
CTL	combined	SORBI_3010G134300	2
CTL	combined	SORBI_3010G138900	2
CTL	combined	SORBI_3010G139000	2
CTL	combined	SORBI_3010G139600	2
CTL	combined	SORBI_3010G140100	2
