Ontology	Layer	Condition	Class	Term	GO	Genes	Background	Intervals	Fold	q_gene	q_LD	Overlap_genes
BP	Individual lipid species	LIN	PC	sodium ion transport	GO:0006814	2	7	2	7.11	0.126	0.048	SORBI_3002G156000;SORBI_3009G042700
BP	Individual lipid species	LIN	PC	regulation of intracellular pH	GO:0051453	2	7	2	7.11	0.126	0.048	SORBI_3002G156000;SORBI_3009G042700
BP	Individual lipid species	LIN	PC	sodium ion import across plasma membrane	GO:0098719	2	7	2	7.11	0.126	0.048	SORBI_3002G156000;SORBI_3009G042700
BP	Individual lipid species	LIN	PC	transcription initiation at RNA polymerase II promoter	GO:0006367	4	38	4	2.62	0.207	0.048	SORBI_3001G257200;SORBI_3002G158700;SORBI_3004G252900;SORBI_3006G017600
BP	Individual lipid species	LIN	PS	MAPK cascade	GO:0000165	2	39	2	79.61	0.00924	0.00121	SORBI_3005G105000;SORBI_3005G106600
BP	Individual lipid species	LIN	SQDG	DNA topological change	GO:0006265	3	12	3	23.25	0.00912	0.00454	SORBI_3010G116800;SORBI_3010G141001;SORBI_3010G141400
BP	Individual lipid species	LIN	SQDG	proteolysis	GO:0006508	11	474	9	2.16	0.106	0.0201	SORBI_3010G112200;SORBI_3010G126100;SORBI_3010G126700;SORBI_3010G127600;SORBI_3010G128000;SORBI_3010G128800;SORBI_3010G129100;SORBI_3010G129300;SORBI_3010G131700;SORBI_3010G141500;SORBI_3010G141800
BP	Individual lipid species	LIN	SQDG	hydrogen peroxide catabolic process	GO:0042744	7	144	6	4.52	0.0217	0.024	SORBI_3010G128300;SORBI_3010G128400;SORBI_3010G128700;SORBI_3010G134200;SORBI_3010G140700;SORBI_3010G161600;SORBI_3010G162000
BP	Individual lipid species	LIN	SQDG	regulation of DNA-templated transcription	GO:0006355	16	1464	14	1.02	0.649	0.024	SORBI_3001G271100;SORBI_3003G033500;SORBI_3010G110100;SORBI_3010G111800;SORBI_3010G116200;SORBI_3010G123500;SORBI_3010G133566;SORBI_3010G138600;SORBI_3010G141700;SORBI_3010G146400;SORBI_3010G148600;SORBI_3010G148800;SORBI_3010G151325;SORBI_3010G152700;SORBI_3010G163900;SORBI_3010G164800
BP	Individual lipid species	LIN	SQDG	negative regulation of response to salt stress	GO:1901001	4	25	2	14.88	0.00618	0.0297	SORBI_3010G124700;SORBI_3010G124800;SORBI_3010G127200;SORBI_3010G127300
BP	Individual lipid species	LIN	SQDG	DNA-templated DNA replication	GO:0006261	2	27	2	6.89	0.138	0.0405	SORBI_3008G091300;SORBI_3010G147700
BP	Individual lipid species	LIN	SQDG	response to oxidative stress	GO:0006979	6	178	5	3.13	0.106	0.0405	SORBI_3010G128300;SORBI_3010G128400;SORBI_3010G128700;SORBI_3010G140700;SORBI_3010G161600;SORBI_3010G162000
BP	Individual lipid species	LIN	SQDG	cellular oxidant detoxification	GO:0098869	6	202	5	2.76	0.113	0.0405	SORBI_3010G128300;SORBI_3010G128400;SORBI_3010G128700;SORBI_3010G140700;SORBI_3010G161600;SORBI_3010G162000
BP	Individual lipid species	LIN	SQDG	transmembrane transport	GO:0055085	13	865	13	1.4	0.307	0.0405	SORBI_3002G141900;SORBI_3002G159900;SORBI_3006G025300;SORBI_3010G127800;SORBI_3010G131600;SORBI_3010G133300;SORBI_3010G136900;SORBI_3010G138400;SORBI_3010G146100;SORBI_3010G147200;SORBI_3010G151575;SORBI_3010G153700;SORBI_3010G165500
BP	Individual lipid species	LIN	SQDG	positive regulation of cytoplasmic translation	GO:2000767	12	213	12	5.24	0.00128	0.048	SORBI_3010G113150;SORBI_3010G127550;SORBI_3010G134801;SORBI_3010G136450;SORBI_3010G137333;SORBI_3010G140150;SORBI_3010G140550;SORBI_3010G140575;SORBI_3010G140750;SORBI_3010G144050;SORBI_3010G152250;SORBI_3010G161050
BP	Individual lipid species	LIN	SQDG	RNA processing	GO:0006396	3	103	3	2.71	0.263	0.048	SORBI_3003G033100;SORBI_3010G139000;SORBI_3010G151900
BP	Individual lipid species	LIN	TG	transmembrane transport	GO:0055085	44	865	31	1.89	0.00378	0.00121	SORBI_3001G012600;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G128300;SORBI_3001G133900;SORBI_3001G223100;SORBI_3001G481800;SORBI_3002G116100;SORBI_3002G185300;SORBI_3002G185400;SORBI_3002G185500;SORBI_3002G185600;SORBI_3002G311200;SORBI_3002G321300;SORBI_3003G184800;SORBI_3003G185100;SORBI_3003G201500;SORBI_3003G267700;SORBI_3003G271300;SORBI_3003G271400;SORBI_3004G087700;SORBI_3004G089200;SORBI_3004G089300;SORBI_3004G089400;SORBI_3004G260500;SORBI_3004G311000;SORBI_3005G183900;SORBI_3006G244000;SORBI_3007G210500;SORBI_3008G015700;SORBI_3008G015800;SORBI_3008G016000;SORBI_3008G019400;SORBI_3008G081200;SORBI_3008G081400;SORBI_3008G081500;SORBI_3008G105500;SORBI_3009G042700;SORBI_3009G073100;SORBI_3009G083300;SORBI_3009G084400;SORBI_3010G133100;SORBI_3010G153700;SORBI_3010G175900
BP	Individual lipid species	LIN	TG	telomere maintenance via recombination	GO:0000722	2	2	2	37.16	0.0175	0.0101	SORBI_3004G151000;SORBI_3004G181500
BP	Individual lipid species	LIN	TG	phyllome development	GO:0048827	2	5	2	14.87	0.0762	0.0297	SORBI_3001G034100;SORBI_3001G102300
BP	Individual lipid species	LIN	TG	protein folding	GO:0006457	9	171	9	1.96	0.154	0.0355	SORBI_3001G041200;SORBI_3001G129000;SORBI_3003G185200;SORBI_3004G047200;SORBI_3004G183800;SORBI_3005G043000;SORBI_3008G081900;SORBI_3008G088200;SORBI_3010G073700
BP	Individual lipid species	LIN	TG	chromosome organization involved in meiotic cell cycle	GO:0070192	2	6	2	12.39	0.0916	0.0405	SORBI_3004G151000;SORBI_3008G101300
BP	Individual lipid species	LIN	TG	transcription initiation at RNA polymerase III promoter	GO:0006384	2	8	2	9.29	0.113	0.0405	SORBI_3001G036050;SORBI_3004G223600
