"Phenotype","PhenotypeClean","N_SNPs","Min_P","Lambda","N_GenomeWide","N_Suggestive"
"Sum_MGDG_over_DGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part02.parta3_SAP_bialleles_MAF_0.05_12.assoc.txt","Sum_MGDG_over_DGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part02_parta3_SAP_bialleles_MAF_0_05_12_assoc_txt",6106358,2.303399e-17,0.466249607116973,1690,7988
"Sum_MG_over_GalCer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta2_SAP_bialleles_MAF_0.05_3.assoc.txt","Sum_MG_over_GalCer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part07_parta2_SAP_bialleles_MAF_0_05_3_assoc_txt",6106358,4.222543e-17,0.484227978401718,1237,7473
"Sum_MG_over_MGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta10_SAP_bialleles_MAF_0.05_3.assoc.txt","Sum_MG_over_MGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part07_parta10_SAP_bialleles_MAF_0_05_3_assoc_txt",6106358,5.968535e-17,0.480173500410045,1549,8080
"Sum_MGDG_over_GalCer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part02.parta5_SAP_bialleles_MAF_0.05_12.assoc.txt","Sum_MGDG_over_GalCer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part02_parta5_SAP_bialleles_MAF_0_05_12_assoc_txt",6106358,7.614783e-17,0.489970618174002,1447,7398
"Sum_DGDG_over_MGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta9_SAP_bialleles_MAF_0.05_11.assoc.txt","Sum_DGDG_over_MGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part01_parta9_SAP_bialleles_MAF_0_05_11_assoc_txt",6106358,8.595202e-17,0.482405946388584,1683,7885
"Sum_MGDG_over_MG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part02.parta4_SAP_bialleles_MAF_0.05_12.assoc.txt","Sum_MGDG_over_MG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part02_parta4_SAP_bialleles_MAF_0_05_12_assoc_txt",6106358,1.100319e-16,0.474374841238184,1799,8014
"Sum_MGDG_over_DG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part02.parta3_SAP_bialleles_MAF_0.05_12.assoc.txt","Sum_MGDG_over_DG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part02_parta3_SAP_bialleles_MAF_0_05_12_assoc_txt",6106358,1.149106e-16,0.459082148706931,1792,8172
"Sum_MG_over_DG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta7_SAP_bialleles_MAF_0.05_4.assoc.txt","Sum_MG_over_DG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part08_parta7_SAP_bialleles_MAF_0_05_4_assoc_txt",6106358,1.274148e-16,0.465963839809943,1653,8085
"Sum_MG_over_PE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta9_SAP_bialleles_MAF_0.05_4.assoc.txt","Sum_MG_over_PE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part08_parta9_SAP_bialleles_MAF_0_05_4_assoc_txt",6106358,1.408384e-16,0.526270229998902,938,6378
"Sum_DGDG_over_DG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta9_SAP_bialleles_MAF_0.05_11.assoc.txt","Sum_DGDG_over_DG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part01_parta9_SAP_bialleles_MAF_0_05_11_assoc_txt",6106358,1.426029e-16,0.47538569954913,1758,7961
