Ontology	Layer	Condition	Class	Term	N_terms	GO	Genes	Background	Intervals	Fold	q_gene	q_LD	Merged_terms	Overlap_genes
MF	Individual lipid species	LIN	FA	nitrate transmembrane transporter activity	1	GO:0015112	3	9	1	10	0.037	0.018	nitrate transmembrane transporter activity	SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500
MF	Individual lipid species	LIN	PC	phosphoglycerate dehydrogenase activity	1	GO:0004617	4	7	4	9.3	0.012	0.014	phosphoglycerate dehydrogenase activity	SORBI_3002G101300;SORBI_3006G243400;SORBI_3007G038800;SORBI_3010G214100
MF	Individual lipid species	LIN	SQDG	aspartic-type endopeptidase activity	1	GO:0004190	6	53	5	6.1	0.012	0.014	aspartic-type endopeptidase activity	SORBI_3010G126100;SORBI_3010G126700;SORBI_3010G127600;SORBI_3010G128000;SORBI_3010G128800;SORBI_3010G129100
MF	Individual lipid species	LIN	SQDG	transmembrane receptor protein serine/threonine kinase activity	1	GO:0004675	5	45	2	6	0.023	0.015	transmembrane receptor protein serine/threonine kinase activity	SORBI_3010G124700;SORBI_3010G124800;SORBI_3010G126800;SORBI_3010G127200;SORBI_3010G127300
MF	Individual lipid species	LIN	TG	quercetin 7-O-glucosyltransferase activity and 3-O-glucosyltransferase activity	2	GO:0080043;GO:0080044	6	26	3	5.6	0.014	0.016	quercetin 3-O-glucosyltransferase activity; quercetin 7-O-glucosyltransferase activity	SORBI_3001G030500;SORBI_3001G030600;SORBI_3002G085400;SORBI_3002G085700;SORBI_3002G085800;SORBI_3004G191000
MF	Individual lipid species	LIN	SQDG	translation regulator activity and single-stranded RNA binding	2	GO:0003727;GO:0045182	12	126	12	5.1	0.00053	0.03	single-stranded RNA binding; translation regulator activity	SORBI_3010G113150;SORBI_3010G127550;SORBI_3010G134801;SORBI_3010G136450;SORBI_3010G137333;SORBI_3010G140150;SORBI_3010G140550;SORBI_3010G140575;SORBI_3010G140750;SORBI_3010G144050;SORBI_3010G152250;SORBI_3010G161050
MF	Individual lipid species	LIN	SQDG	nucleic acid binding	1	GO:0003676	22	522	20	2.3	0.011	0.015	nucleic acid binding	SORBI_3003G033400;SORBI_3008G091300;SORBI_3010G113150;SORBI_3010G123750;SORBI_3010G127550;SORBI_3010G134500;SORBI_3010G134801;SORBI_3010G136450;SORBI_3010G137333;SORBI_3010G140150;SORBI_3010G140550;SORBI_3010G140575;SORBI_3010G140750;SORBI_3010G144050;SORBI_3010G145300;SORBI_3010G145800;SORBI_3010G147250;SORBI_3010G147300;SORBI_3010G147350;SORBI_3010G152250;SORBI_3010G153300;SORBI_3010G161050
MF	Individual lipid species	LIN	FA	transmembrane transporter activity	1	GO:0022857	22	296	15	2.2	0.012	0.014	transmembrane transporter activity	SORBI_3001G012600;SORBI_3001G028400;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G099400;SORBI_3001G169100;SORBI_3002G185300;SORBI_3002G185400;SORBI_3003G076200;SORBI_3003G389800;SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009900;SORBI_3004G019800;SORBI_3004G311000;SORBI_3006G184400;SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200;SORBI_3008G081400;SORBI_3008G081500
MF	Individual lipid species	LIN	SQDG	mRNA binding	1	GO:0003729	18	432	18	2.2	0.021	0.02	mRNA binding	SORBI_3003G033100;SORBI_3010G113150;SORBI_3010G116600;SORBI_3010G127550;SORBI_3010G134801;SORBI_3010G136450;SORBI_3010G137333;SORBI_3010G138200;SORBI_3010G140150;SORBI_3010G140550;SORBI_3010G140575;SORBI_3010G140750;SORBI_3010G143500;SORBI_3010G144050;SORBI_3010G145800;SORBI_3010G150575;SORBI_3010G152250;SORBI_3010G161050
MF	Individual lipid species	LIN	TG	transmembrane transporter activity	1	GO:0022857	23	296	20	1.9	0.037	0.015	transmembrane transporter activity	SORBI_3001G012600;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G128300;SORBI_3001G133900;SORBI_3001G223100;SORBI_3002G116100;SORBI_3002G185300;SORBI_3002G311200;SORBI_3003G185100;SORBI_3004G260500;SORBI_3004G311000;SORBI_3006G244000;SORBI_3008G015700;SORBI_3008G015800;SORBI_3008G081200;SORBI_3008G081400;SORBI_3008G081500;SORBI_3008G105500;SORBI_3009G083300;SORBI_3009G084400;SORBI_3010G133100;SORBI_3010G175900
MF	Individual lipid species	LIN	SQDG	zinc ion binding	1	GO:0008270	32	1015	29	1.7	0.027	0.016	zinc ion binding	SORBI_3003G033500;SORBI_3010G108500;SORBI_3010G113150;SORBI_3010G116000;SORBI_3010G118000;SORBI_3010G120500;SORBI_3010G123500;SORBI_3010G123750;SORBI_3010G125500;SORBI_3010G127550;SORBI_3010G130100;SORBI_3010G131900;SORBI_3010G133275;SORBI_3010G134801;SORBI_3010G136450;SORBI_3010G137333;SORBI_3010G140150;SORBI_3010G140550;SORBI_3010G140575;SORBI_3010G140750;SORBI_3010G141700;SORBI_3010G144050;SORBI_3010G145300;SORBI_3010G146800;SORBI_3010G151200;SORBI_3010G151325;SORBI_3010G152250;SORBI_3010G153600;SORBI_3010G156800;SORBI_3010G157300;SORBI_3010G158400;SORBI_3010G161050
