condition	lipid_class	go_term	go_id	term_bg_count	term_test_count	expected	fold_enrichment	p_value	p_adj_bh	overlap_genes
CTL	TG	L-tyrosine catabolic process	GO:0006572	12	4	0.4068998109640832	9.830429732868756	0.0005165734167597259	0.013290025176636584	SORBI_3002G041100;SORBI_3002G041200;SORBI_3002G104200;SORBI_3005G152200
CTL	PA	hydrogen peroxide catabolic process	GO:0042744	104	3	0.19659735349716445	15.259615384615385	0.0008983984764013022	0.02098326691204805	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500
LIN	PC	cell division	GO:0051301	68	12	4.322306238185255	2.7762956483708727	0.0010576622918950973	0.02098326691204805	SORBI_3001G166800;SORBI_3001G211500;SORBI_3001G526300;SORBI_3002G230900;SORBI_3003G373100;SORBI_3003G375200;SORBI_3003G388000;SORBI_3004G183900;SORBI_3008G104000;SORBI_3009G087300;SORBI_3009G104900;SORBI_3009G184200
LIN	AEG	response to wounding	GO:0009611	39	3	0.21195652173913043	14.153846153846153	0.001197329947764865	0.02098326691204805	SORBI_3001G259300;SORBI_3001G259400;SORBI_3001G259600
LIN	SQDG	cell surface receptor protein serine/threonine kinase signaling pathway	GO:0007178	45	5	0.8081285444234405	6.187134502923977	0.0011974270356617024	0.02098326691204805	SORBI_3010G124700;SORBI_3010G124800;SORBI_3010G126800;SORBI_3010G127200;SORBI_3010G127300
CTL	PA	response to oxidative stress	GO:0006979	118	3	0.22306238185255198	13.449152542372882	0.0012956925086736934	0.02098326691204805	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500
LIN	FA	purine nucleoside transmembrane transport	GO:0015860	7	3	0.2448015122873346	12.254826254826254	0.0013346247505896286	0.02098326691204805	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	FA	purine nucleobase transport	GO:0006863	7	3	0.2448015122873346	12.254826254826254	0.0013346247505896286	0.02098326691204805	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	SQDG	defense response to oomycetes	GO:0002229	48	5	0.8620037807183365	5.800438596491228	0.0016073563240505393	0.023941149458226455	SORBI_3010G124700;SORBI_3010G124800;SORBI_3010G126800;SORBI_3010G127200;SORBI_3010G127300
CTL	PA	cellular oxidant detoxification	GO:0098869	131	3	0.24763705103969755	12.114503816793892	0.001750889314180747	0.02477508379565757	SORBI_3005G011200;SORBI_3005G011300;SORBI_3005G011500
LIN	FA	purine nucleobase transmembrane transport	GO:1904823	8	3	0.27977315689981097	10.722972972972972	0.0020803160683547533	0.02803473558782834	SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200
LIN	PC	carbon utilization	GO:0015976	5	3	0.31781663516068054	9.439405204460966	0.0023185572800270126	0.028528335228158456	SORBI_3002G230100;SORBI_3003G234200;SORBI_3003G234500
LIN	PC	anaphase-promoting complex-dependent catabolic process	GO:0031145	5	3	0.31781663516068054	9.439405204460966	0.0023185572800270126	0.028528335228158456	SORBI_3001G526300;SORBI_3003G388000;SORBI_3009G104900
LIN	FA	nitrate assimilation	GO:0042128	9	3	0.31474480151228734	9.531531531531531	0.003040120266859438	0.03584808481338421	SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500
LIN	FA	detection of stimulus	GO:0051606	10	3	0.3497164461247637	8.578378378378378	0.004231389960426341	0.04789933435202618	SORBI_3004G044800;SORBI_3004G045000;SORBI_3004G045100
LIN	PC	nucleotide transport	GO:0006862	6	3	0.3813799621928166	7.866171003717473	0.0044186334997038884	0.04809512616985386	SORBI_3001G100800;SORBI_3001G101100;SORBI_3003G169600
LIN	FA	transmembrane transport	GO:0055085	526	30	18.395085066162572	1.630870414140376	0.0053329763183393615	0.055897492521853304	SORBI_3001G012600;SORBI_3001G028400;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G099400;SORBI_3001G100800;SORBI_3001G101100;SORBI_3001G169100;SORBI_3001G403700;SORBI_3001G512300;SORBI_3002G185300;SORBI_3002G185400;SORBI_3003G076200;SORBI_3003G086300;SORBI_3003G122300;SORBI_3003G389800;SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500;SORBI_3004G009900;SORBI_3004G019800;SORBI_3004G311000;SORBI_3006G184400;SORBI_3006G195000;SORBI_3006G195100;SORBI_3006G195200;SORBI_3006G219300;SORBI_3007G162400;SORBI_3008G081400;SORBI_3008G081500
LIN	TG	transmembrane transport	GO:0055085	526	34	21.813090737240074	1.5586970415867756	0.0063186242018079975	0.06386323746827369	SORBI_3001G012600;SORBI_3001G031700;SORBI_3001G032200;SORBI_3001G128300;SORBI_3001G133900;SORBI_3001G218900;SORBI_3001G223100;SORBI_3002G116100;SORBI_3002G185300;SORBI_3002G311200;SORBI_3003G169600;SORBI_3003G184800;SORBI_3003G185100;SORBI_3004G089200;SORBI_3004G089300;SORBI_3004G089400;SORBI_3004G260500;SORBI_3004G311000;SORBI_3005G183900;SORBI_3006G244000;SORBI_3007G210500;SORBI_3008G015700;SORBI_3008G015800;SORBI_3008G081200;SORBI_3008G081400;SORBI_3008G081500;SORBI_3008G105500;SORBI_3009G042700;SORBI_3009G073100;SORBI_3009G083300;SORBI_3009G084400;SORBI_3010G133100;SORBI_3010G153700;SORBI_3010G175900
LIN	TG	detection of stimulus	GO:0051606	10	3	0.4146975425330813	7.234188034188034	0.006825748244063132	0.06660988803689195	SORBI_3004G044800;SORBI_3004G045000;SORBI_3004G045100
LIN	SQDG	defense response to bacterium	GO:0042742	73	5	1.3109640831758034	3.8139870223503967	0.0098625740579275	0.0930369486131161	SORBI_3010G124700;SORBI_3010G124800;SORBI_3010G126800;SORBI_3010G127200;SORBI_3010G127300
LIN	PC	response to wounding	GO:0009611	39	7	2.478969754253308	2.8237536936421694	0.010464893803457321	0.09407574512797617	SORBI_3001G125800;SORBI_3001G259300;SORBI_3001G259400;SORBI_3001G259600;SORBI_3009G009900;SORBI_3009G010000;SORBI_3009G010150
CTL	TG	carbohydrate transport	GO:0008643	14	3	0.4747164461247637	6.319561971129915	0.010637540085142182	0.09407574512797617	SORBI_3008G094300;SORBI_3008G094400;SORBI_3009G235900
LIN	FA	nitrate transmembrane transport	GO:0015706	15	3	0.5245746691871456	5.718918918918919	0.01409520927494572	0.11901658889930139	SORBI_3004G009200;SORBI_3004G009400;SORBI_3004G009500
LIN	FA	regulation of intracellular signal transduction	GO:1902531	28	4	0.9792060491493384	4.084942084942085	0.015473714129235037	0.11901658889930139	SORBI_3001G025700;SORBI_3001G512600;SORBI_3004G096300;SORBI_3006G192200
CTL	TG	regulation of defense response	GO:0031347	16	3	0.5425330812854442	5.529616724738676	0.015567393546975032	0.11901658889930139	SORBI_3001G259400;SORBI_3001G259600;SORBI_3001G259700
LIN	PC	regulation of defense response	GO:0031347	16	4	1.0170132325141776	3.9330855018587365	0.015910081892203935	0.11901658889930139	SORBI_3001G259300;SORBI_3001G259400;SORBI_3001G259600;SORBI_3004G125800
LIN	PC	mitophagy	GO:0000423	9	3	0.572069943289225	5.244114002478314	0.016072701692457135	0.11901658889930139	SORBI_3001G192000;SORBI_3001G436900;SORBI_3002G159200
LIN	PC	secondary metabolic process	GO:0019748	9	3	0.572069943289225	5.244114002478314	0.016072701692457135	0.11901658889930139	SORBI_3002G121100;SORBI_3002G121300;SORBI_3002G175500
LIN	FA	cellular response to phosphate starvation	GO:0016036	16	3	0.5595463137996219	5.361486486486486	0.01690682536569531	0.11901658889930139	SORBI_3001G028500;SORBI_3003G088800;SORBI_3003G088900
LIN	FA	xylan biosynthetic process	GO:0045492	16	3	0.5595463137996219	5.361486486486486	0.01690682536569531	0.11901658889930139	SORBI_3001G038300;SORBI_3001G406700;SORBI_3004G047600
