GeneID,GeneName,n_records,tot_phen,best_p
SORBI_3010G125000,Steroid nuclear receptor ligand-binding,2,2,5.991652e-11
SORBI_3010G124900,B-keto acyl reductase,2,2,5.991652e-11
SORBI_3010G124800,Protein kinase domain-containing protein,2,2,5.991652e-11
SORBI_3009G237400,Timeless N-terminal domain-containing protein,2,2,6.965395e-10
SORBI_3009G221000,,2,2,1.222343e-09
SORBI_3009G220800,Rx N-terminal domain-containing protein,2,2,1.222343e-09
SORBI_3009G220700,Uncharacterized protein,2,2,1.222343e-09
SORBI_3009G220500,,2,2,1.222343e-09
SORBI_3004G103600,Actin-related protein 2_3 complex subunit 3,2,2,2.067558e-11
SORBI_3004G103700,Uncharacterized protein,2,2,2.82693e-10
SORBI_3004G103800,,2,2,8.011247e-10
SORBI_3009G109000,Uncharacterized protein,2,2,1.45047e-09
SORBI_3009G069600,Malic enzyme,2,2,1.093331e-10
SORBI_3004G103901,Berberine_berberine-like domain-containing protein,2,2,8.011247e-10
SORBI_3004G104100,,2,2,8.011247e-10
SORBI_3004G104200,Berberine_berberine-like domain-containing protein,2,2,8.011247e-10
SORBI_3004G104250,Pentacotripeptide-repeat region of PRORP domain-containing protein,2,2,8.011247e-10
SORBI_3001G021000,Nicotinate phosphoribosyltransferase,2,2,7.25892e-12
