GeneID	GeneName	conditions	layers	best_p	max_r2	max_nphen
SORBI_3007G103400	Uncharacterized protein	CTL	individual	3.29137e-10	0.842376	6
SORBI_3001G266100	Proline-rich protein	CTL	individual	6.203238e-10	0.708678	6
SORBI_3001G266200	Proline-rich protein	CTL	individual	6.203238e-10	0.800802	6
SORBI_3008G094400	Bidirectional sugar transporter SWEET	CTL	individual	7.128154e-10	0.97198	6
SORBI_3007G090400	DUF2470 domain-containing protein	CTL	individual	1.051901e-09	0.548409	6
SORBI_3001G220066		CTL	individual	1.102206e-09	0.48499	6
SORBI_3001G220300		CTL	individual	1.102206e-09	0.496276	6
SORBI_3001G220900		CTL	individual	1.102206e-09	0.488519	6
SORBI_3001G221300	Long-chain-alcohol oxidase	CTL	individual	1.102206e-09	0.756421	6
SORBI_3001G221350	Uncharacterized protein	CTL	individual	1.102206e-09	0.744514	6
SORBI_3001G221400	Long-chain-alcohol oxidase	CTL	individual	1.102206e-09	0.740527	6
SORBI_3001G221500	glutamate--tRNA ligase	CTL	individual	1.102206e-09	0.732809	6
SORBI_3001G221601	Uncharacterized protein	CTL	individual	1.102206e-09	0.530811	6
SORBI_3001G221700		CTL	individual	1.102206e-09	0.678867	6
SORBI_3001G221750	Uncharacterized protein	CTL	individual	1.102206e-09	0.590877	6
SORBI_3001G221850	CCHC-type domain-containing protein	CTL	individual	1.102206e-09	0.639983	6
SORBI_3001G221900	3-ketoacyl-CoA synthase	CTL	individual	1.102206e-09	0.486457	6
SORBI_3006G279000	RRM domain-containing protein	CTL	individual	3.098264e-10	0.713403	5
SORBI_3006G040700		CTL	individual	6.116699e-10	0.817889	5
SORBI_3006G040800		CTL	individual	6.116699e-10	0.962938	5
SORBI_3001G266400		CTL	individual	6.203238e-10	0.473042	5
SORBI_3001G266500		CTL	individual	6.203238e-10	0.534031	5
SORBI_3001G266700		CTL	individual	6.203238e-10	0.52924	5
SORBI_3001G267000		CTL	individual	6.203238e-10	0.621893	5
SORBI_3008G094500	CCHC-type domain-containing protein	CTL	individual	7.128154e-10	0.8632	5
SORBI_3008G094600	Uncharacterized protein	CTL	individual	7.128154e-10	0.980052	5
SORBI_3007G090537	CpSecY	CTL	individual	1.124333e-09	0.661433	5
SORBI_3007G090600		CTL	individual	1.124333e-09	0.70415	5
SORBI_3007G090701		CTL	individual	1.124333e-09	0.638528	5
SORBI_3005G115200		CTL	individual	1.164517e-09	0.928647	5
SORBI_3010G253250	Uncharacterized protein	CTL	individual	1.350305e-09	0.414493	5
SORBI_3007G114401		CTL	individual	1.925817e-09	0.486875	5
SORBI_3008G089700	SGF29 C-terminal domain-containing protein	CTL	individual	5.422097e-31	1.0	4
SORBI_3007G113900		CTL	individual	2.859644e-14	0.842403	4
SORBI_3006G044400	Carboxypeptidase	CTL	individual	1.846216e-11	0.874487	4
SORBI_3005G098100	Uncharacterized protein	CTL	individual	2.424645e-11	0.402954	4
SORBI_3005G098250		CTL	individual	2.424645e-11	0.844771	4
