Condition,Kind,Trait,n,h2_allmarkers,h2_hetfiltered,lo_allmarkers,lo_hetfiltered,hi_allmarkers,hi_hetfiltered,delta
CTL,species,TG(14:0/16:0/18:1),351,0,0,0,0,0.069,0.068,0
CTL,species,TG(14:0/18:1/18:2),351,0,0,0,0,0.04,0.04,0
CTL,species,TG(14:0/18:1/18:3),351,0,0,0,0,0.044,0.043,0
CTL,species,TG(14:0/18:2/18:3),351,0,0,0,0,0.03,0.03,0
CTL,species,TG(14:0/18:3/18:3),351,0,0,0,0,0.049,0.049,0
CTL,species,TG(16:0/16:0/16:0),351,0,0,0,0,0.031,0.031,0
CTL,species,TG(16:0/16:0/18:1),351,0.986,0.985,0.728,0.725,0.999,0.999,-0.001
CTL,species,TG(16:0/16:0/18:2),351,0,0,0,0,0.198,0.196,0
CTL,species,TG(16:0/16:0/20:1),351,0.999,0.999,0.953,0.952,0.999,0.999,0
CTL,species,TG(16:0/18:0/18:2),351,0.798,0.796,0.346,0.345,0.973,0.972,-0.002
CTL,species,TG(16:0/18:1/18:1),351,0.999,0.999,0.954,0.953,0.999,0.999,0
CTL,species,TG(16:0/18:1/18:2),351,0.022,0.022,0,0,0.973,0.972,0
CTL,species,TG(16:0/18:1/18:3),351,0.001,0.001,0,0,0.146,0.144,0
CTL,species,TG(16:0/18:1/20:0),351,0.999,0.999,0.875,0.874,0.999,0.999,0
CTL,species,TG(16:0/18:1/20:1),351,0.837,0.835,0.505,0.503,0.983,0.982,-0.002
CTL,species,TG(16:0/18:1/20:2),351,0,0,0,0,0.346,0.345,0
CTL,species,TG(16:0/18:1/22:0),351,0,0,0,0,0.137,0.136,0
CTL,species,TG(16:0/18:1/22:1),351,0,0,0,0,0.058,0.058,0
CTL,species,TG(16:0/18:2/18:3),351,0.007,0.007,0,0,0.109,0.108,0
CTL,species,TG(16:0/18:3/18:3),351,0.021,0.02,0,0,0.133,0.132,-0.001
CTL,species,TG(16:1/16:1/22:5),351,0.033,0.032,0,0,0.189,0.187,-0.001
CTL,species,TG(16:1/18:1/18:1),351,0.973,0.972,0.69,0.688,0.999,0.999,-0.001
CTL,species,TG(16:1/20:1/20:2),351,0,0,0,0,0.1,0.099,0
CTL,species,TG(16:1/20:1/22:1),351,0,0,0,0,0.069,0.068,0
CTL,species,TG(18:0/18:0/20:1),351,0,0,0,0,0.037,0.037,0
CTL,species,TG(18:0/18:2/18:2),351,0.898,0.897,0.6,0.598,0.999,0.999,-0.001
CTL,species,TG(18:0/18:2/20:1),351,0.001,0.001,0,0,0.103,0.102,0
CTL,species,TG(18:0/18:2/22:0),351,0,0,0,0,0.061,0.06,0
CTL,species,TG(18:1/18:1/20:3),351,0,0,0,0,0.079,0.078,0
CTL,species,TG(18:1/18:2/18:2),351,0.081,0.08,0,0,0.606,0.605,-0.001
CTL,species,TG(18:1/18:2/18:3),351,0,0,0,0,0.117,0.116,0
CTL,species,TG(18:1/18:3/22:0),351,0,0,0,0,0.08,0.079,0
CTL,species,TG(18:1/20:0/22:1),351,0,0,0,0,0.168,0.166,0
CTL,species,TG(18:1/20:1/22:1),351,0,0,0,0,0.099,0.098,0
CTL,species,TG(18:1/20:3/22:0),351,0,0,0,0,0.081,0.08,0
CTL,species,TG(18:2/18:2/18:4),351,0.024,0.024,0,0,0.159,0.158,0
CTL,species,TG(18:2/18:2/20:2),351,0.019,0.019,0,0,0.177,0.176,0
CTL,species,TG(18:2/18:2/22:1),351,0,0,0,0,0.048,0.047,0
CTL,species,TG(18:2/18:3/20:3),351,0.021,0.021,0,0,0.159,0.158,0
CTL,species,TG(18:2/20:2/22:2),351,0,0,0,0,0.078,0.078,0
CTL,species,TG(18:2/20:3/21:0),351,0,0,0,0,0.112,0.111,0
CTL,species,TG(18:2/20:3/22:0),351,0,0,0,0,0.105,0.104,0
CTL,species,TG(18:2/22:0/22:3),351,0,0,0,0,0.089,0.089,0
CTL,species,TG(18:3/18:3/18:3),351,0,0,0,0,0.155,0.154,0
CTL,species,trans-EKODE-(E)-Ib,351,0.077,0.076,0,0,0.285,0.283,-0.001
LIN,class_sum,Sum_AEG,357,0.042,0.042,0,0,0.148,0.147,0
LIN,class_sum,Sum_Cer,357,0.031,0.031,0,0,0.124,0.123,0
LIN,class_sum,Sum_DG,357,0.019,0.018,0,0,0.125,0.124,-0.000999999999999997
LIN,class_sum,Sum_DGDG,357,0.025,0.025,0,0,0.133,0.132,0
LIN,class_sum,Sum_FA,357,0.149,0.148,0.061,0.06,0.287,0.285,-0.001
LIN,class_sum,Sum_GalCer,357,0.007,0.006,0,0,0.103,0.102,-0.001
LIN,class_sum,Sum_LPC,357,0.018,0.017,0,0,0.116,0.115,-0.001
LIN,class_sum,Sum_LPE,357,0,0,0,0,0.092,0.091,0
LIN,class_sum,Sum_MG,357,0.056,0.056,0,0,0.186,0.184,0
LIN,class_sum,Sum_MGDG,357,0.053,0.053,0,0,0.18,0.178,0
LIN,class_sum,Sum_PA,357,0,0,0,0,0.026,0.026,0
LIN,class_sum,Sum_PC,357,0.011,0.011,0,0,0.129,0.128,0
LIN,class_sum,Sum_PE,357,0.021,0.021,0,0,0.127,0.126,0
LIN,class_sum,Sum_PG,357,0.045,0.045,0,0,0.166,0.165,0
LIN,class_sum,Sum_PS,357,0.115,0.114,0.041,0.041,0.249,0.247,-0.001
LIN,class_sum,Sum_SQDG,357,0.046,0.045,0,0,0.175,0.173,-0.001
LIN,class_sum,Sum_TG,357,0.054,0.053,0.004,0.004,0.159,0.158,-0.001
LIN,species,"11,14,17-Eicosatrienoic acid,(Z,Z,Z)-",357,0.399,0.396,0.267,0.265,0.549,0.546,-0.003
LIN,species,"8(9)-Epoxy-5Z,11Z,14Z-eicosatrienoic acid, methyl ester",357,0.053,0.052,0,0,0.184,0.183,-0.000999999999999994
LIN,species,AEG(o-15:2/15:0),357,0.107,0.106,0.032,0.031,0.247,0.245,-0.001
LIN,species,AEG(o-16:2/16:0),357,0.029,0.029,0,0,0.125,0.124,0
LIN,species,AEG(o-16:2/18:2),357,0.058,0.058,0,0,0.195,0.193,0
LIN,species,AEG(o-16:3/16:0),357,0.054,0.054,0.004,0.004,0.154,0.153,0
LIN,species,AEG(o-18:3/16:1),357,0,0,0,0,0.106,0.105,0
LIN,species,AEG(o-18:4/16:1),357,0.038,0.038,0,0,0.154,0.153,0
LIN,species,AEG(o-18:4/18:2),357,0,0,0,0,0.091,0.09,0
LIN,species,Cer(24:1),357,0.031,0.031,0,0,0.124,0.123,0
LIN,species,DG(12:0/12:0),357,0,0,0,0,0.04,0.04,0
LIN,species,DG(16:0/18:1),357,0.102,0.101,0,0,0.303,0.3,-0.001
LIN,species,DG(16:0/18:2),357,0.03,0.029,0,0,0.146,0.145,-0.000999999999999997
LIN,species,DG(16:0/18:3),357,0.026,0.026,0,0,0.131,0.129,0
LIN,species,DG(16:1/18:2),357,0,0,0,0,0.072,0.071,0
LIN,species,DG(16:1/18:3),357,0.015,0.015,0,0,0.095,0.095,0
LIN,species,DG(18:0/18:2),357,0.118,0.117,0.01,0.01,0.294,0.292,-0.001
LIN,species,DG(18:0/20:3),357,0.06,0.059,0,0,0.262,0.26,-0.000999999999999994
LIN,species,DG(18:1/18:2),357,0.15,0.149,0.008,0.008,0.402,0.399,-0.001
LIN,species,DG(18:1/18:3),357,0,0,0,0,0.153,0.152,0
LIN,species,DG(18:1/2:0),357,0,0,0,0,0.109,0.108,0
LIN,species,DG(18:2/18:2),357,0.061,0.06,0,0,0.257,0.255,-0.001
LIN,species,DG(18:2/18:3),357,0.014,0.014,0,0,0.121,0.12,0
LIN,species,DG(18:3/18:3),357,0.022,0.021,0,0,0.133,0.132,-0.000999999999999997
LIN,species,DG(8:0/8:0),357,0,0,0,0,0.044,0.044,0
LIN,species,DGDG(16:0/18:1),357,0.064,0.063,0,0,0.263,0.261,-0.001
LIN,species,DGDG(16:0/18:2),357,0.063,0.062,0,0,0.221,0.22,-0.001
LIN,species,DGDG(16:0/18:3),357,0.062,0.061,0.008,0.008,0.174,0.173,-0.001
LIN,species,DGDG(18:0/18:2),357,0.149,0.147,0.03,0.03,0.367,0.364,-0.002
